City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
262,chichiriviche,10.9333,-68.2772,87.51,72,80,15.66,VE,1726507038
263,qujing,25.4833,103.7833,58.48,95,0,2.64,CN,1726507039
264,bogra,24.85,89.3667,80.4,87,100,6.33,BD,1726507040
265,petropavlovsk-kamchatsky,53.0452,158.6483,34.39,75,0,6.71,RU,1726507041
266,lorengau,-2.0226,147.2712,81.23,83,22,8.52,PG,1726507042
267,bandarbeyla,9.4942,50.8122,78.3,80,7,27.02,SO,1726507043
268,altai,46.3722,96.2583,48.67,20,0,23.96,MN,1726507044
269,kuqa,41.7278,82.9364,74.64,30,3,2.46,CN,1726507045
270,fairbanks,64.8378,-147.7164,41.09,94,75,0.0,US,1726507046
271,toliara,-23.35,43.6667,73.87,78,1,8.1,MG,1726507047
272,singerei,47.6667,28.1667,63.84,77,100,3.65,MD,1726507048
273,cestos city,5.46,-9.5828,79.12,79,73,9.89,LR,1726507049
274,san pedro,14.35,121.0167,81.63,95,20,1.99,PH,1726507050
275,ingeniero jacobacci,-41.3427,-69.5448,59.43,17,44,9.22,AR,1726507051
276,dibba al-hisn,25.6196,56.2729,87.35,59,0,2.35,AE,1726507052
277,malabar,-33.9667,151.25,54.05,77,12,18.5,AU,1726507053
278,valley city,46.9233,-98.0032,80.55,50,100,14.79,US,1726507054
279,chimala,-8.85,34.0167,74.12,23,3,4.68,TZ,1726507055
280,ulladulla,-35.35,150.4667,46.94,76,2,5.46,AU,1726507056
281,leava,-14.3,-178.1667,79.11,81,88,7.45,WF,1726507057
282,san antonio oeste,-40.7319,-64.9477,64.42,34,1,5.37,AR,1726506925
283,jiagedaqi,50.4167,124.1167,46.47,64,0,4.03,CN,1726507059
284,badr hunayn,23.7829,38.7905,88.59,55,4,3.53,SA,1726507060
285,labrador city,52.9463,-66.9114,67.17,66,75,13.8,CA,1726507062
286,i-n-salah,27.1935,2.4607,104.41,11,0,13.78,DZ,1726507063
287,susuman,62.7833,148.1667,28.2,82,46,1.95,RU,1726507064
288,birobidzhan,48.8,132.95,49.87,92,42,3.38,RU,1726507065
289,omutninsk,58.67,52.1932,58.24,76,72,1.97,RU,1726507066
290,saldanha,-33.0117,17.9442,55.45,77,0,21.09,ZA,1726507067
291,collinsville,38.6703,-89.9846,87.89,58,0,3.0,US,1726507068
292,novofedorivka,46.1713,32.3178,69.89,58,100,6.73,UA,1726507069
293,urangan,-25.3,152.9,60.26,81,0,10.25,AU,1726507070
294,holualoa,19.6228,-155.9522,76.84,85,100,8.05,US,1726507071
295,lesosibirsk,58.2358,92.4828,32.22,86,23,2.21,RU,1726507072
296,madison,34.7334,-86.5667,83.93,56,20,10.0,US,1726506926
297,weno,7.4515,151.8468,82.35,89,100,8.05,FM,1726507074
298,sanya,18.2431,109.505,80.76,89,0,4.47,CN,1726507075
299,rongelap,11.1635,166.8941,82.99,76,86,9.51,MH,1726507076
300,salekhard,66.53,66.6019,59.5,88,100,2.68,RU,1726507077
301,kenai,60.5544,-151.2583,52.14,83,0,21.85,US,1726507078
302,ola,59.5833,151.2833,40.87,63,95,8.1,RU,1726507079
303,new norfolk,-42.7826,147.0587,48.7,96,100,4.97,AU,1726507080
304,hinganghat,20.5667,78.8333,75.42,88,86,9.26,IN,1726507081
305,puerto san jose,13.9256,-90.8244,86.97,71,78,5.99,GT,1726507082
306,sarangani,5.4033,125.4636,82.83,80,100,18.79,PH,1726507083
307,yuzhno-kurilsk,44.0306,145.8556,60.04,79,100,12.53,RU,1726507084
308,emure-ekiti,7.4361,5.4593,76.69,90,78,4.05,NG,1726506842
309,kirensk,57.7853,108.1119,36.41,95,100,4.32,RU,1726507086
310,farim,12.4839,-15.2217,74.79,97,100,3.69,GW,1726507087
311,lingyuan,41.24,119.4011,63.21,73,98,2.35,CN,1726507088
312,lubao,14.9167,120.55,80.31,99,100,9.01,PH,1726507089
313,douz,33.4663,9.0203,86.68,23,14,5.12,TN,1726507091
314,nuku'alofa,-21.1333,-175.2,70.14,100,40,1.14,TO,1726506838
315,savanna-la-mar,18.219,-78.1332,89.92,60,100,6.17,JM,1726507096
316,paita,-5.0892,-81.1144,70.68,69,4,12.91,PE,1726506976
